feature,mean_before,std_before
age,54.54208754208754,9.034487589926636
sex,0.6767676767676768,0.4677105819309182
cp,3.1582491582491583,0.9632336979027394
trestbps,131.69360269360268,17.73287743823472
chol,247.35016835016836,51.909970707892114
fbs,0.1447811447811448,0.35188004333438117
restecg,0.9966329966329966,0.99323745892929
thalach,149.5993265993266,22.90290733792757
exang,0.3265993265993266,0.4689693022620916
oldpeak,1.0555555555555556,1.1641579568929132
slope,1.6026936026936027,0.6171451736665773
ca,0.6767676767676768,0.9373824451006205
thal,4.730639730639731,1.9353622047234418
